meeting,dir,from,to,raw_count,weight_raw,weight_split,edge_key
#100,in,APT Wireless Group (src),RAN,1,1.0,1.0,in|||APT Wireless Group (src)|||RAN
#100,in,CT1 (src),RAN,1,1.0,1.0,in|||CT1 (src)|||RAN
#100,in,CT3 (src),RAN,1,1.0,1.0,in|||CT3 (src)|||RAN
#100,in,CT4 (src),RAN,3,3.0,3.0,in|||CT4 (src)|||RAN
#100,in,GSMA UPG (src),RAN,1,1.0,1.0,in|||GSMA UPG (src)|||RAN
#100,in,GSOA (src),RAN,1,1.0,1.0,in|||GSOA (src)|||RAN
#100,in,ITU-T JCA IMT2020 (src),RAN,1,1.0,1.0,in|||ITU-T JCA IMT2020 (src)|||RAN
#100,in,ITU-T SG11 (src),RAN,1,1.0,1.0,in|||ITU-T SG11 (src)|||RAN
#100,in,ITU-T SG13 (src),RAN,1,1.0,1.0,in|||ITU-T SG13 (src)|||RAN
#100,in,ITU-T SG15 (src),RAN,1,1.0,1.0,in|||ITU-T SG15 (src)|||RAN
#100,in,O-RAN WG9 - Open X-haul Transport Workgroup (src),RAN,1,1.0,1.0,in|||O-RAN WG9 - Open X-haul Transport Workgroup (src)|||RAN
#100,in,RAN2 (src),RAN,1,1.0,1.0,in|||RAN2 (src)|||RAN
#100,in,RAN4 (src),RAN,6,6.0,6.0,in|||RAN4 (src)|||RAN
#100,in,SA1 (src),RAN,1,1.0,1.0,in|||SA1 (src)|||RAN
#100,in,SA4 (src),RAN,2,2.0,2.0,in|||SA4 (src)|||RAN
#100,in,SA5 (src),RAN,1,1.0,1.0,in|||SA5 (src)|||RAN
#100,out,RAN,RAN4 (dst),2,2.0,2.0,out|||RAN|||RAN4 (dst)
#100,out,RAN,SA (dst),1,1.0,0.5,out|||RAN|||SA (dst)
#100,out,RAN,SA2 (dst),3,3.0,2.5,out|||RAN|||SA2 (dst)
#101,in,3GPP RAN ITU-R AH (src),RAN,2,2.0,2.0,in|||3GPP RAN ITU-R AH (src)|||RAN
#101,in,450 MHz Alliance (src),RAN,1,1.0,1.0,in|||450 MHz Alliance (src)|||RAN
#101,in,5GAA WG4 (src),RAN,1,1.0,1.0,in|||5GAA WG4 (src)|||RAN
#101,in,AirFuel Alliance (src),RAN,1,1.0,1.0,in|||AirFuel Alliance (src)|||RAN
#101,in,ETSI ISG RIS (src),RAN,1,1.0,1.0,in|||ETSI ISG RIS (src)|||RAN
#101,in,ETSI TC RT (src),RAN,1,1.0,1.0,in|||ETSI TC RT (src)|||RAN
#101,in,GSMA (src),RAN,1,1.0,1.0,in|||GSMA (src)|||RAN
#101,in,ITU-R WP4B (src),RAN,1,1.0,1.0,in|||ITU-R WP4B (src)|||RAN
#101,in,ITU-R WP5D (src),RAN,5,5.0,5.0,in|||ITU-R WP5D (src)|||RAN
#101,in,RAN1 (src),RAN,1,1.0,1.0,in|||RAN1 (src)|||RAN
#101,in,RAN4 (src),RAN,3,3.0,3.0,in|||RAN4 (src)|||RAN
#101,in,RISTA (RIS Tech Alliance) (src),RAN,1,1.0,1.0,in|||RISTA (RIS Tech Alliance) (src)|||RAN
#101,in,SA (src),RAN,1,1.0,1.0,in|||SA (src)|||RAN
#101,in,SA2 (src),RAN,1,1.0,1.0,in|||SA2 (src)|||RAN
#101,in,SA3 (src),RAN,1,1.0,1.0,in|||SA3 (src)|||RAN
#101,out,RAN,RAN2 (dst),3,3.0,3.0,out|||RAN|||RAN2 (dst)
#101,out,RAN,SA (dst),2,2.0,2.0,out|||RAN|||SA (dst)
#102,in,5G-MAG WG CS (src),RAN,1,1.0,1.0,in|||5G-MAG WG CS (src)|||RAN
#102,in,5GAA WG4 (src),RAN,2,2.0,2.0,in|||5GAA WG4 (src)|||RAN
#102,in,5GACIA (src),RAN,1,1.0,1.0,in|||5GACIA (src)|||RAN
#102,in,ETSI ISG ISAC (src),RAN,1,1.0,1.0,in|||ETSI ISG ISAC (src)|||RAN
